time_used(ms), py_cov, coverage_time_used(ms)
96447.79253005981, 2669, 3.565473
96461.99655532837, 2669, 4.041049
96476.64761543274, 2669, 4.501569
96491.13392829895, 2669, 4.338154
96504.6374797821, 2669, 3.322128
96518.15581321716, 2669, 3.373089
96534.10601615906, 2669, 5.797843
96547.4591255188, 2669, 3.188027
96565.33122062683, 2669, 7.653432
96580.1248550415, 2669, 4.568851
96594.71321105957, 2669, 4.364633
96612.20169067383, 2669, 7.255309
96626.4374256134, 2669, 3.994364
96639.98627662659, 2669, 3.329692
96656.31699562073, 2669, 6.089801
96669.77572441101, 2669, 3.213314
96683.67123603821, 2669, 3.677139
96697.22557067871, 2669, 3.33129
96710.43038368225, 2669, 3.047476
96724.34210777283, 2669, 3.698216
96738.11364173889, 2669, 3.629277
96751.31940841675, 2669, 2.968839
96764.94193077087, 2669, 3.490599
96779.09469604492, 2669, 4.001601
96800.42314529419, 2669, 4.8106
96815.20247459412, 2669, 4.464343
96829.34284210205, 2669, 3.740458
96842.86046028137, 2669, 3.160676
96856.70495033264, 2669, 3.517329
96870.55134773254, 2669, 3.491466
96883.9304447174, 2669, 3.040042
96898.38576316833, 2669, 4.145118
96911.96703910828, 2669, 3.159552
96925.30608177185, 2669, 3.014332
96940.49310684204, 2669, 4.877712
96953.80520820618, 2669, 2.952114
96967.62180328369, 2669, 3.502258
96982.51676559448, 2669, 4.532151
96995.94449996948, 2669, 3.070077
97010.25724411011, 2669, 3.993828
97023.96130561829, 2669, 3.305523
97037.25099563599, 2669, 2.970298
97054.06165122986, 2669, 6.499472
97067.50845909119, 2669, 3.028621
97081.63809776306, 2669, 3.844471
97095.07155418396, 2669, 3.095958
97108.36172103882, 2669, 2.971516
97122.89261817932, 2669, 4.260062
97148.62561225891, 2669, 15.381406
97163.88964653015, 2669, 4.971951
97177.72364616394, 2669, 3.390954
97193.72534751892, 2669, 5.727714
97208.98389816284, 2669, 5.091141
97224.6367931366, 2669, 5.360698
97239.69078063965, 2669, 4.742388
97253.47328186035, 2669, 3.50393
97267.66729354858, 2669, 3.852244
97281.3949584961, 2669, 3.442774
97297.20544815063, 2669, 5.538079
97310.84728240967, 2669, 3.34094
97324.25498962402, 2669, 3.135124
97343.36280822754, 2669, 8.800066
97357.68961906433, 2669, 4.036445
97371.21963500977, 2669, 3.243526
97384.6480846405, 2669, 3.108565
97399.05786514282, 2669, 4.140989
97412.76478767395, 2669, 3.354635
97426.50246620178, 2669, 3.394295
97441.19691848755, 2669, 4.30284
97454.87022399902, 2669, 3.365253
97468.69373321533, 2669, 3.491374
97484.36903953552, 2669, 5.334405
97498.11840057373, 2669, 3.428772
97514.60552215576, 2669, 6.187397
97528.2073020935, 2669, 3.192183
97542.74320602417, 2669, 4.147626
97556.3600063324, 2669, 3.264708
97569.98920440674, 2669, 3.369616
97585.55436134338, 2669, 5.218064
97599.71976280212, 2669, 3.845019
97613.98267745972, 2669, 3.939993
97627.51626968384, 2669, 3.158911
97640.9969329834, 2669, 3.222925
97656.01515769958, 2669, 4.755931
97669.81530189514, 2669, 3.295018
97684.35025215149, 2669, 4.181324
97698.50015640259, 2669, 3.788883
97712.162733078, 2669, 3.136867
97726.78279876709, 2669, 4.266587
97740.20981788635, 2669, 3.111516
97753.657579422, 2669, 3.180923
97768.20611953735, 2669, 4.246576
97781.72540664673, 2669, 3.151298
97795.2868938446, 2669, 3.256401
97810.14919281006, 2669, 4.607598
97823.75645637512, 2669, 3.304656
97837.58497238159, 2669, 3.536458
97852.10156440735, 2669, 4.232378
97865.61512947083, 2669, 3.162083
97879.63485717773, 2669, 3.683189
97893.559217453, 2669, 3.637399
97906.9995880127, 2669, 3.177642
97920.87435722351, 2669, 3.609547
97934.70358848572, 2669, 3.473186
97948.36592674255, 2669, 3.297014
97969.3694114685, 2669, 10.703148
97990.66948890686, 2669, 10.876203
98005.83505630493, 2669, 4.376674
98020.15376091003, 2669, 4.159815
98034.15560722351, 2669, 3.854861
